name,lat,lon
Go Dive Pacific,-41.0307795,174.1814719
The Gantry,-35.5053868,150.3953764
HMAS Hobart (D 39),-35.4810546,138.1572073
Landing Bay Pinnacle,-35.4647573,174.7348497
Ann's Rock / Astrid's Wall,-35.4473675,174.7337301
Clifton Gardens,-33.8398181,151.2537003
Chowder Bay,-33.8394641,151.2547765
Waterfall,-33.8225912,151.2942526
Blue Fish Wall,-33.8021808,151.3031233
The Wall,-33.7377946,151.3284848
SS Duckenfield,-33.7180876,151.3240346
Swansea Bridge,-33.0862306,151.6395717
Valpo Sup,-33.022266,-71.6439164
Club de Buceo,-33.0220006,-71.6449852
The Pipeline,-32.7179891,152.1413885
Fly Point,-32.7141474,152.1512394
Halifax,-32.7102627,152.1589987
Cabbage Tree Island,-32.6868842,152.2247997
SS Oakland,-32.6784131,152.2343152
Looking Glass,-32.6295271,152.3158042
North Rock,-32.6014473,152.3228858
Wreck Trail,-32.2724841,115.7314191
Ammunition Jetty,-32.1242633,115.758999
Gareenup,-32.0519895,115.7256889
Elbow Cave,-29.9304561,153.3907159
Bubble Cave,-29.9276437,153.3894686
The Canyons,-29.9250421,153.3864504
The Mackerel Run,-29.9230593,153.3859952
Anemone Bay,-29.9229925,153.3880012
Amoray,-27.5408898,32.6789074
Ilha do Arvoredo,-27.2968146,-48.3618812
Centro de Buceo Mike Rapu,-27.1468009,-109.430646
Buceo Orca,-27.1467412,-109.430996
Barolin Point,-24.8833429,152.4896423
Rochedos dos Calhaus,-24.3299188,-46.162512
Laje de Santos,-24.3192504,-46.1807218
Le Grand Bleu,-23.1254202,43.608619
Fifi Diving,-23.1247053,43.6090448
Mora Mora,-23.1227101,43.6102441
Aiguille du Prony,-22.3288336,166.8350015
Victory B8,-20.6853434,-40.3909733
Ocean Spirit,-19.993447,57.5920734
Aqua BASE,-19.9930936,57.5924134
BASE Diving,-19.9930129,57.5924
Rodrigues Diving,-19.672944,63.4360825
Cruise Whitsundays Pontoon,-19.5714303,149.2695225
Mairie II,-18.0657234,-140.974016
Il Balenottero,-17.0004747,49.8513054
Down Under Diving,-16.523637,145.9851619
TopDive,-16.4989114,-151.7567375
Clipper,-16.4275949,145.9881647
Plate Top,-16.4270161,145.9904141
Troppo's,-16.4192277,145.9965038
Nursery Bommie,-16.0309501,145.8563177
Just Magic,-16.0213633,145.8070862
Wreck Bay,-15.982229,145.8370152
Million Dollar Point,-15.5255116,167.2452199
SS President Coolidge,-15.5230823,167.2352421
Flare Point,-15.5125869,145.7768157
Steve's Bommie,-15.5012397,145.7882636
6 passengers,-14.9604409,-147.6462727
Goggle Gardens,-14.95076,145.68395
Pixie Pinnacle,-14.929769,145.6755024
Pixie Gardens,-14.9280802,145.6772796
Challenger Bay,-14.9154407,145.6903158
Lighthouse Bommie,-14.875091,145.689982
Cod Hole,-14.663675,145.6634652
Round the Bend,-13.891201,146.5528992
Admiralty Anchorage,-13.8866784,146.5569376
Castle,-13.851845,146.563382
Halfway Wall,-13.8487161,146.563876
North Horn,-13.8013992,146.5457903
Balala Diving,-13.598744,47.8184136
Tropical Diving,-13.4001602,48.207616
Rosado,-13.3931342,48.0866988
Manta divesite,-13.3683279,48.0627584
Shark Point,-13.3233766,48.0195595
Chameau,-13.3220658,48.0994665
Manta Point,-8.7947861,115.5259217
PADI Hammerhead Bali Dive,-8.7681895,115.2217763
Gaja Rock,-8.7451021,119.4825409
Tanjung Loh Sera,-8.7432085,119.4720907
Loh Sera,-8.7355061,119.4569802
Manta Bay,-8.7353445,115.4506577
Crystal Bay,-8.7155168,115.4574864
Water Walk,-8.7065673,115.2631469
Bali Aqua Diving,-8.7057514,115.2531295
Pillarsteen,-8.6946259,119.5675945
3 Sisters,-8.6881122,119.5736556
Payong,-8.6804164,119.6057521
Ped,-8.6756914,115.5160285
Indihiang,-8.6520619,119.4960867
Loh Namu,-8.641888,119.4868791
Wainilu,-8.6255978,119.7074961
Gindang,-8.6108571,119.7197489
Pink Beach,-8.60391,119.5184013
Bonsai,-8.6034515,119.6544647
Pantai Merah,-8.6009657,119.5261842
Batu Tiga,-8.5996016,119.5728673
Pengah Kecil,-8.5769535,119.6808266
Siaba Besar,-8.558211,119.6450121
Mawan,-8.558126,119.6361023
Siaba Besar,-8.5455259,119.6482815
Manta Point,-8.5415535,119.5997228
Makassar Reef (Manta Point),-8.5335442,119.5905966
Gili Tepekong South,-8.5316464,115.586138
Gili Tepekong North,-8.5311955,115.5858269
Gili Mimpang,-8.526092,115.576321
Tatawa Kecil,-8.5252252,119.6332396
Blue Lagoon,-8.5179074,115.5097974
Sabayor Kecil,-8.5109788,119.695278
Tatawa Besar,-8.5083587,119.6397238
Mini Wall,-8.5081987,119.7040058
Sebayur,-8.5046306,119.7078895
Blue Coral Diving,-8.5000726,116.0499
Twin Island Dive,-8.4878718,119.8768821
The Cauldron,-8.4609097,119.5633723
Crystal Bay,-8.4472423,119.5682314
Cystal Rock,-8.4416648,119.5677822
Lighthouse Reef,-8.4409708,119.5837837
Seraya kecil,-8.4181211,119.8625135
Teluk NBoro,-8.4042153,116.0591248
Sabolon besar,-8.3926698,119.8068523
Sabolon kecil,-8.3896766,119.7984087
Manta Point,-8.363335,116.0265987
Meno Corner,-8.3588705,116.0625884
Bounty,-8.3568341,116.0512706
Buddha Dive,-8.3565541,116.0419207
Blue Marlin Dive Gili Meno,-8.3536363,116.0614862
Air Wall,-8.3528396,116.0738278
Meno Slope,-8.3517823,116.0500957
Mirkos Reef,-8.3510773,116.0657213
Trawangan Dive Biorock,-8.3490364,116.0442834
Gili Sanctum,-8.3487203,116.043001
Samba Vilas Biorock,-8.3481527,116.0439347
Bale Sampan Biorock,-8.3479656,116.0438526
Lombok Dive,-8.3475991,116.0283794
Frog Fish Point,-8.3474561,116.0886552
Mango Dive,-8.3471433,116.0423383
Trawangan Wall,-8.3465756,116.0436158
Turtle snorkeling spot,-8.3462772,116.0429691
Vila Almarick Biorock,-8.3461172,116.0433854
Meno Wall,-8.3452031,116.0498999
Turtle point,-8.3427036,116.0437832
Shark Point,-8.3425401,116.0236615
Shallow Turbo,-8.3395246,116.0440257
Mama Dive,-8.337772,115.6587537
Jack Point,-8.337684,116.0255805
Underwater Shrine,-8.3376207,115.6610709
Amed wall,-8.337564,115.6617295
Deep Turbo,-8.3367441,116.0462579
Halik,-8.336235,116.038308
Simons Reef,-8.3347077,116.065643
Segaluh,-8.3344744,116.0982787
Pyramids,-8.3341953,115.6536502
Bali Dive Trek,-8.3312359,115.6309014
Malang,-8.3296167,116.0701857
Bulakan,-8.308309,115.6214953
Batu Belah,-8.3078554,115.6208435
Seraya Beach,-8.2956657,115.611935
Blue Hill,-8.2875992,115.6050638
Emerald,-8.2837348,115.6028731
Big Fins TecDiving,-8.2784946,115.5933629
Coral garden,-8.2769163,115.5946864
Marta Dive,-8.2753636,115.5904646
USAT Liberty Wreck,-8.2739054,115.5926122
Paradise Diving,-8.2738721,115.5904903
Blue Corner,-8.1004242,114.5205089
Mangrove Point,-8.0978736,114.5089187
Underwater Cave,-8.0974198,114.5263131
Menjangan - Pos 2,-8.0964808,114.5279094
Post I Jetty,-8.0963806,114.5031276
Bat Cave,-8.093384,114.5289757
Coral Garden,-8.0912588,114.5220724
Little Wall,-5.8387967,39.3918874
Little Wall,-5.8387027,39.3919965
Big Wall,-5.8016272,39.418089
Noodles,-5.7585227,106.5961052
Captain Muddy,-5.7355216,39.2902305
Sea Garden,-5.7350752,106.606427
THGI Nungwi,-5.7301527,39.2926562
Maria's Heart,-5.6897869,106.5382091
Spongebob,-5.6877104,106.5367446
Jevry's Drop,-5.6667085,106.571608
Leon's Cloudy Canyon,-5.6654889,106.570588
The Cleavage,-5.6203007,106.5557914
Jetski Lagoon,-5.6196494,106.552117
Kaliage Kecil Selatan,-5.6181439,106.5767719
Kaliage Kecil Utara,-5.6164142,106.5756668
Kayuangin Lagoon,-5.5856787,106.5503736
Leon's Bikini Bottom,-5.5850327,106.5485443
Valley of the tubes,-5.5834614,106.5929807
Uranus Pinnacle,-5.4815172,106.6014413
Tuna Can,-5.4666505,106.4388584
Jevry's Shaft,-5.4270349,106.4644693
JC Slope,-5.4205019,106.4890034
Agus dream,-5.4165447,106.4719031
Fananas,-5.4155864,106.469434
Roche Grand Maman,-4.2900691,55.6859107
Terumbu Karang,-3.7860882,115.5659345
Parcela Marina,-1.5927583,-80.8625987
Long beach ⛱️,-1.4899517,123.5461332
Swallope,-1.275924,129.6614347
Galaisa Adventure Travel Agency,-0.9554825,-90.966512
Ocho,-0.9017234,-89.61164
Galapagos fan dive,-0.9010163,-89.6106449
Pulau Pieh,-0.8762778,100.0976111
Cookie Monster,-0.8259531,121.5938859
Tanjung Tampo,-0.8111953,121.663937
Irvin's Mantas,-0.7930622,130.5047585
Survival,-0.7610055,121.7715927
Circus,-0.7532412,121.7658429
Nurek,-0.7523651,121.7690837
House Reef,-0.7523122,121.7620927
Rap God,-0.7459502,121.7545824
Galapagos People,-0.7429614,-90.3119827
Tanjung Gurita,-0.7405208,121.7579097
Bima Sakti 3,-0.7379916,121.7659961
Bima Sakti 1,-0.7377503,121.7734271
SpaceX,-0.7363043,121.766766
Swarm,-0.708643,130.3055331
Wai FPW,-0.7021871,130.7126716
West Mensuar,-0.6087297,130.5466783
My Reef,-0.6065187,130.2893836
Harto's Reef,-0.5934078,130.2895933
Keruo Night Dive,-0.5930296,130.3044533
Fam Wall,-0.5915939,130.2967816
Melissa's Garden,-0.5898694,130.3152067
Sawandarek Jetty,-0.5897798,130.6033001
Seamount,-0.5894517,130.3102785
Keruo Channel,-0.5888295,130.2960285
Erens New,-0.5823501,130.643081
Manta Point,-0.5809433,130.5409632
Manta Sandy,-0.5800375,130.5418638
Plazas,-0.5796433,-90.1597537
Yembuba Diving,-0.5718143,130.6618405
Arborek shark point,-0.5672128,130.5071587
The Lagoon,-0.5660946,130.2856301
Batu Rufas,-0.5659022,130.2844014
Ransiwor,-0.565852,130.6591085
Gordon Rocks,-0.565433,-90.1419987
Aerborek Jetty,-0.5634152,130.5186131
Manta Ridge,-0.5617019,130.537349
West Penemu,-0.5615678,130.2565689
Batu Bila,-0.5540037,121.6408956
Manta Sandy,-0.5532675,130.5299532
Koh,-0.5529745,130.6979979
Cross Over,-0.5495349,130.6844603
Batu Laut,-0.548034,130.4981147
Chicken Reef,-0.5465947,130.7025224
Lalosi,-0.5457583,130.496442
Anita's Garden,-0.5435233,130.2511258
Barracuda East,-0.5427047,130.2518139
Barracuda West,-0.5418952,130.250866
Otdima Reef,-0.5403458,130.6308988
Stevan reef,-0.5333334,121.6311111
Sardine Reef,-0.5333183,130.7139487
Ot Di Ma,-0.5297741,130.6385512
Mushroom Rock,-0.5251125,121.9406534
Mangrove,-0.5251113,130.461759
Cave Lagoon,-0.524805,130.593602
Blue Magic,-0.5190107,130.7254735
Mangrove and Slope,-0.5154423,130.4618957
Mayhem,-0.5139054,130.4454953
Deep Rock,-0.5138244,130.4405035
Mike's Point,-0.5136831,130.674383
Mangrove Ridge,-0.5129865,130.459773
GA's Flash,-0.5117444,130.4551455
Mayhem,-0.5110819,130.4465905
Citrus Ridge,-0.510554,130.4555644
Way Pretty Shallows,-0.5101972,130.448606
Gam Ridge,-0.5094497,130.4547141
Blue Magic,-0.5074179,130.7368162
Lao lao,-0.5038958,130.718396
Myoskon,-0.497365,130.7268192
Mioskun,-0.4970983,130.719783
Katrin reef,-0.4952778,121.6188889
Yeben Shallows,-0.4917346,130.3342607
No Fear,-0.4775389,121.9348818
Friwen Bonda,-0.4750988,130.6981206
Friwen Laut,-0.4744472,130.7000962
Friwen Garden,-0.4713256,130.6985472
Francisco,-0.4673361,130.6941364
Donut Reef,-0.4668104,121.9346205
West Reef's End,-0.4649679,130.8493593
Andrea's Point,-0.4641228,130.690372
Saddleback Reef,-0.4537005,121.9523344
Bomba atoll,-0.4509069,121.6356468
Batu Lima,-0.4501697,130.6986886
Nimpi Dinding,-0.4501405,121.6335686
Fuzzy Rock,-0.4470521,130.4581085
Kabui,-0.4343816,130.6872477
Selat Kabui,-0.4321515,130.5515835
Soft corals in the passage,-0.4286672,130.5610216
B-24 Bomber Wreck,-0.426194,121.9743213
The Passage,-0.4208683,130.5654502
Lighthouse,-0.4201378,121.638428
The Cathedral,-0.4200947,130.5683194
Goa Goa,-0.4154801,121.6845711
Kakatua reef,-0.415233,130.6744537
Urai,-0.4125069,130.6995888
Mosquera,-0.4085075,-90.2772687
Imbekwan wall,-0.4002043,131.206949
Imbekwan Bommies,-0.3997071,131.2043113
Daphne,-0.3955196,-90.3529774
Pulau Memyai,-0.3676028,131.1827303
Mildred's Rock,-0.3638968,121.8411752
Channel,-0.3531598,121.8765404
Chinatown,-0.35285,121.8372138
Bajo,-0.3512924,121.8485034
Taipi Island,-0.3361726,121.8513234
Gap,-0.3275464,121.8358574
Taipi Wall,-0.3177734,121.8387571
Tiger sharks feeding point,-0.3065725,73.4412596
California Reef,-0.3063465,121.9564193
Telma,-0.303633,130.9035058
Seafan,-0.3001317,73.4365218
Maa Neyru,-0.3000826,73.4205001
Neregando reef,-0.2933363,73.4112572
Rasgefanno,-0.2912111,73.4281061
Thundi,-0.2809093,73.4217
Chinese Town,-0.2188239,121.5917393
Pinnacle,-0.2160038,121.6360218
Reef 5,-0.2137917,122.07655
Menara 2,-0.2078931,121.646054
Apollo,-0.2068821,121.5713092
White Arrow,-0.2055018,130.2554037
Candi City,-0.2013095,121.6517667
Turtle Point,-0.1924605,121.6577829
Jack Point,-0.1835211,121.6604099
NAD Lembeh,1.4447743,125.2409649
Murex Dive,1.45695,124.7625408
Turtle City,1.5944429,124.7738773
Likuan 1,1.5960885,124.7679605
Timur 1,1.5968544,124.7834687
Likuan 2,1.6008372,124.7657464
Pangalisan,1.6031842,124.7828835
Likuan 3,1.6050969,124.766713
Bualo,1.6091646,124.7007471
Cela Cela,1.6102864,124.7683402
Mandolin,1.6111528,124.7329308
Panorama,1.6140994,124.7673411
Timur 2,1.6145663,124.7832989
Fukui Point,1.6164622,124.7506949
Alung banua,1.6174836,124.7559944
Tengah,1.6190291,124.7326589
Muka Gereja,1.6232667,124.7199353
Siladen 2,1.624023,124.8079861
Siladen 1,1.625049,124.7971832
Tanjung Parigi,1.6283536,124.7664363
Sachiko's,1.6312436,124.7740207
Raymond's,1.6314914,124.7365353
Mike's,1.6351474,124.7431438
S. Utara,1.6411589,124.7966476
Pangulingan,1.652869,124.7109802
Tanjung Kopi,1.6532373,124.6917917
Bango,1.692911,124.779776
Gorango,1.6942341,124.7534642
Buhias,1.708793,124.78332
Tangkasi,1.7330462,124.7734569
Barracuda Point,1.7518479,124.7320346
Jalan Masuk,1.7603355,124.7995788
Helga Point,1.7896039,124.8143125
Batu Kapal,1.7927374,124.7720657
Shark Diving Indonesia,2.0485481,128.2931263
Bamboo SeaSport,2.4346693,103.9772257
Keyodhoo Shipwreck,3.4513703,73.5606152
Maamigili Beyru,3.4623198,72.8193017
Holiday Beyru,3.4667329,72.8299005
Dhidhoo corner (out reef),3.4790689,72.8768978
Fish Bank,3.5148712,72.9187866
Dhigurah Arches,3.5400179,72.9150945
Broken rock,3.5561503,72.9369047
Kuda Rah thila,3.5588012,72.9230452
Five rocks,3.5688653,72.9415191
Hudhu Thila,3.5697576,72.940986
Hukurudhoo reef,3.5729372,72.7213988
Rangali manta point,3.5879734,72.7193872
Kudhi Maa Wreck,3.5907967,72.8827411
Rangali Madivaru,3.5954543,72.7189263
Miyaru Kandu,3.5996409,73.5042226
Thila,3.6088614,72.8146388
Exit 4,3.6329424,72.9580956
Exit 5 + 6,3.6333522,72.9558738
Exit 1 and 2,3.6333949,72.9613638
Exit 10,3.6338652,72.9609627
Exit 7,3.6343987,72.956013
Exit 9,3.6344382,72.9597692
Exit 8,3.6347069,72.9583209
Vilamendhoo Housereef,3.6352812,72.9571983
Moofushi,3.8814315,72.7210353
Guraidhoo Corner,3.8937988,73.4691913
Guraidhoo Channel,3.8960875,73.4635205
Fish Head,3.9359727,72.9131414
Miyaru Faru,3.989206,73.5112278
La Ferreteria,3.9921342,-81.6165342
La Gringa,3.9940879,-81.6163365
David,3.996058,-81.6150641
Salomon,3.9971453,-81.613837
Saul,3.9973248,-81.6147183
Bajo del Junior,3.997714,-81.6123358
El Sahara,3.9989203,-81.6151042
Los Gemelos,3.9991154,-81.6071177
Fesdhoo,3.9994333,72.7860333
Fesdhoo thila,3.9995814,72.7857358
La Torta,3.9996824,-81.6044138
La Puerta del Cielo,4.0004595,-81.6131157
Vagamares,4.0006532,-81.6048071
El Arco del Tropic,4.0018236,-81.6039833
La Nevera,4.0022481,-81.6112468
Maalhos Thila,4.0023266,72.7192917
La Pared del Tangon,4.0034423,-81.6040832
El Mirador,4.003538,-81.61204
Aquamarina,4.003939,-81.6107252
El Arrecife,4.0047123,-81.6041082
House Reef,4.0054454,72.9507361
El Freezer,4.0060961,-81.6086715
La Cara del Fantasma,4.0069287,-81.6036963
Bajo del Monstruo,4.0086226,-81.6030341
Bajo del Anda,4.0113966,-81.6059224
Bajo del Cholo,4.0120253,-81.607661
D'Artagnan,4.0126323,-81.60652
El Acuario,4.0131743,-81.6089106
La Catedral,4.0139547,-81.6058681
Los Tres Mosqueteros,4.0141932,-81.6074002
Ellaidhoo house reef,4.0152499,72.9498129
Bidu Thila,4.042284,72.9523073
Bathalaamaagaa Kanthila,4.0705807,72.9497539
Maaya Lagoon,4.0745667,72.8844468
Bungalow 78 exit,4.0828312,73.5139469
Coral garden,4.0830752,73.5104942
Main jetty exit,4.0845674,73.5132801
Exit,4.0864758,73.5101777
Maaya Thila,4.0913626,72.8619718
Embudu Finolhu Outside,4.1085996,73.5325069
Etheremadivaru house reef,4.1161509,72.9368108
Hafsa Thila,4.1291928,72.8382075
Victory Wreck,4.1798982,73.52538
